Regulation_Name,Organizing_Body,Year,categories,Regulation_Type,Requirements,Description,
CRAFT code,Alliance for Responsible Mining,2018,Gold,Voluntary Standards,"Participants to a CRAFT scheme must produce CRAFT report along the OECD framework implemented in CRAFT's performance indicators. CRAFT Schemes have no obligation to carry out any due diligence or verification of the content of CRAFT Reports, but can use them for certification by other schemes.","CRAFT is a tool that facilitates the comprehension, application, and commitment to due diligence by all stakeholders in artisanal supply chains. It enables the identification and mitigation of risks existing in the artisanal and small-scale mining (ASM) sector, and supports progressive improvement in environmental and social performance. It aims to facilitate ASM products to access formal supply chains and possibly apply for an external certification.",
Better Gold Initiative,Swiss Better Gold Association,2013,Gold,Voluntary Standards,Upstream members must operate in legality and comply with purchasers Due Diligence requirements. ,"Created by Swiss players of the gold value chain, from refiners to retailers, BGI aims to create a market driven mechanism (based on purchases with a premium) that enables formalized artisanal gold mining entities to adopt more socially inclusive and better environmental practices through technical assistance and impact assessment financed as part of members' CSR.",
RJC code of conduct,Responsible Jewellery Council (RJC),2009/2019,"Gold, Silver, Platinum Group Metals, Diamonds, Coloured Gemstones",Voluntary Standards,"RJC members must adhere to the COP and work to implement its 42 provisions. Third party auditing and certification only becomes mandatory after two years, and can be granted including without full conformance.","The RJC COP defines the responsible ethical, human rights, social and environmental practices throughout the jewellry and watch supply chains. It draws on existing guidelines such the OECD for due diligence and the GRI for reporting. All certified RJC members must adhere to the COP and work to implement its 42 provisions. The COP lies in between standard and certification since members can display membership without being accredited. Third party auditing and certification only becomes mandatory after two years, and can be granted including without full conformance.",
Responsible Mining Index,The Responsible Mining Foundation,2017,Any,Voluntary Standards,None.  The assessment is based on publicly available information on the companies and their mine sites by RMI; companies are invited to complete missing information.,"Voluntary evidence-based assessment of large-scale mining companies’ policies and practices, both at corporate and mine-site level, on a range of economic, environmental, social and governance (EESG) issues.",
Bettercoal code,Bettercoal,2013,Coal,Voluntary Standards,Bettercoal members conduct self-assessment (1-2 years) and undergo a third party assessment (1-5 years) of their performance against the twelve principles of the Bettercoal Code. Assessment does not provide a certification of performance but instead drives a model of continuous improvement.,"Operating set of health, safety, social and environmental standards for coal producers against which their performance is assessed to jointly develop a continuous improvement plan.",
International Cyanide Management Code for the Gold Mining Industry,International Cyanide Management Institute (ICMI),2005,"Gold, Silver",Certification Schemes,Mines undergoing Verification Audits for certification under the Cyanide Code need to require that other entities involved in these activities (producers and transporters) demonstrate that they adhere to the Code’s Principles and meet its Standards of Practice through third party auditing upon which certification is issued for 3 years.,"Code focusing exclusively on the safe management of cyanide that is produced, transported and used for the recovery of gold and silver, and on mill tailings and leach solutions at mine sites.",
Responsible Minerals Assurance Process (RMAP),Responsible Mineral Initiative,2010/2017,"3Ts, Gold, Cobalt, Copper, Lead, Nickel, Zinc, Mica",Certification Schemes,"Certification is based on a yearly third-party audit of the smelter/refiner, whose suppliers/clients are included in its management system.","Formerly known as Conflict-Free Smelter Program. The RMAP helps companies make informed choices about responsibly sourced minerals in their supply chains by providing assurance to its accredited smelters and refiners' members. It focuses on a ""pinch point"" and validates smelters' company level management processes for responsible mineral procurement through third third-party assessment of the RMAP standards. The standards implement the OECD guidance, the EU regulation and the Dodd-Franck act.",
RJC Chain-of-custody (CoC) certification,Responsible Jewellery Council,2012,"Gold, Silver, Platinum Group Metals",Certification Schemes,CoC certification requires third-party auditing at every stage of the supply chain and surveillance audit within 12-18 months upon which a certification decision is taken. Recertification occurs every 2 years.,"The RJC CoC is voluntary to RJC members and certifies that mined and recycled material is traced and segregated along the supply chain, and that it meets eligibility criteria of responsible sourcing, optionally claims of provenance. It implements the OECD guidance to the jewellery supply chains and applies to precious metals. CoC certification requires third-party auditing at every stage of the supply chain upon which a certification decision is taken.",
IRMA Standard for Responsible Mining,The Initiative for Responsible Mining Assurance (IRMA),2018,Any (except energy),Certification Schemes,"IRMA certification is based on third-party auditing of industrial-scale mine sites; the scope of the audit depends on the life stage of the mine. Besides certification, IRMA issues lower ""verified level achievements""","IRMA’s Standard defines good practices for what responsible mining should look like at the industrial-scale mine site level (business integrity, planning, social responsibility, environmental responsibility) that independent auditors will use as the benchmark for responsible mines. IRMA offers third-party certification of industrial-scale mine sites for all mined materials that is governed equitably by the private sector, local communities, civil society, and workers.",
Certified Trading Chains (CTC),Bundesanstalt für Geowissenschaften und Rohstoffe (BGR) and ICGLR,2011,"3Ts, Copper, Cobalt, Galena, Semi-Precious Stones",Certification Schemes,"Traceability through declaration of origin, identification of mine sites, type, weight and volume of the minerals by producers and buyers from pit to exportation, appropriate tracking of documents and control of the quantities in question, as well as third party auditing.","The CTC scheme is the certification instrument of the ICGLR Regional Certification Mechanism (RCM). It implements the OECD guidance and the Dodd-Franck act to the specific challenges pertaining to the ASM sector in the Great Lakes Region. 5 principles: Traceability and Transparency ,Labor and Working Conditions, Security, Community Development, Environmental protection.",
Responsible Source - Jewelry,SCS Global,2012/2015,"Metals, Gemstones",Certification Schemes,Implement the standard on the basis of ISO 14021:1999 and undergo yearly audit by SCS.,"SCS certification for the jewellery supply chains of the use of recycled metals and gemstones, to avoid conflict metals and materials from questionable or illegal sources. Unlike most schemes targeting mined materials, it does not refer to the OECD guidance. References include ILO conventions, US regulation (Dodd-Franck), and ISO standards.",
ResponsibleSteel Assurance,ResponsibleSteel,2019,"Steel, Iron Ore",Certification Schemes,"Policies can be developed at the group/corporate owner level, and not necessarily at the site level, but third-party auditing verifies implementation until sites (both mines for raw material and scrap) upon which a certification decision is taken.","The standard is voluntary and applies to operational steelmaking sites and to related sites that process raw materials for steelmaking, or that produce steel product - not to service providers, mine sites, or to sites producing final products. It comprises 12 principles for the responsible sourcing and production that cover sustainability issues at large. Policies can be developed at the group/corporate owner level, and not necessarily at the site level, but third party auditing verifies implementation until sites (both mines for raw material and scrap) upon which a certification decision is taken.",
ASI CoC certification,Aluminium Stewarship Initiative,2014,"Bauxite, Aluminum",Certification Schemes,"Certification is issued based on the entity's self-assessment against the standard, third party auditing, followed by surveillance audit, and upon decision of the secretariat for a period of 3 years for matured certified members.","ASI’s standards are voluntary and apply to all stages of aluminium production and transformation, specifically: bauxite mining, alumina refining, primary aluminium production, semi-fabrication (rolling, extrusion, forging and foundry), material conversion, and refining and re-melting of recycled scrap. The scope of CoC Certification is defined by the Entity seeking Certification and includes all Facilities (and where applicable, Outsourcing Contractors) used for the processing, accounting, shipping and/or receiving of CoC Material. ",
ANSI/NSC 373 Sustainability Standard Certification,Natural Stone Council,2014,Natural Stones,Certification Schemes,"Quarriers and processors need to obtain the standard compliance, chain of custody and conformance document by a third-party auditor in order to pursue certification.","The   Standard   establishes   a   set   of   well-defined   environmental, ecological, social   responsibility and human health metrics as an indicator of leadership in sustainability performance. It applies to all processors of natural stone, from quarry operations through final stone fabrication, both in domestic (US) and international markets. The quarrier and processor will need to obtain the standard compliance, chain of custody and conformance document by a third-party auditor in order to pursue certification.",
LBMA Responsible Sourcing programme,London Bullion Market Association,2012,"Gold, Silver, Platinum, Palladium",Certification Schemes,Refiners producing LBMA Good Delivery gold bars must comply with all sections of the Guidance and associated support documentation in order to remain on the List (GDL) and pass an audit by an approved audit provider covering 12 months.,"Compliance to the responsible sourcing program is a mandatory requirement for the accreditation of precious metals' refineries to the LBMA good delivery list (enabling access to London OTC market). Except on issues of disclosure, the programme implements the OECD due diligence guidance to the refineries of gold and precious metals.",
DMCC Rules for Risk Based Due Diligence in the Gold and Precious Metals Supply Chain (DMCC RGB),Dubai Multi Commodities Centre Practical Guidance,2016,"Gold, Precious Metals",Certification Schemes,"Members of the DMCC in the business of gold and precious metals must obtain accreditation to the Dubai Good Delivery standards by implementing the DMCC rules, self-report on it, and pass a third-party audit, with recertification every three years.","Accreditation system for buisnesses in the supply chain relating to Mined Gold and/or Precious Metalsand Recycled Gold and/or Precious Metals, along the implementation of effective due diligence on their supply chains, granting accreditation to Dubai Good Delivery list and access to trade in Dubai DMCC. The RGB implements the OECD guidance, yet with minimal requirements on reporting and disclosure as well as due diligence on recycled gold.",
Fair Trade Gold,Fair Trade Foundation/Max Havelaar,2013,Gold,Certification Schemes,"Certification is based upon the fair trade system including due diligence and traceability (inc. mass balance) and is granted upon third party auditing by FLOCERT, which allows for a premium price, possibly supplemented by an ecological premium. ","The standard for Gold and Associated Precious Metals for ASSM covers the requirements that need to be complied within order to participate in the Fairtrade system. It applies to legal artisanal and small-scale mining organizations (ASMO, including landowner, legal owner, members, shareholders) of various types, including community based ASMO, as well as to traders and refiners (with a focus on traceability, possibly mass balanced). It refers to various regulations (ILO, Dodd-Franc), guidelines (OCDE), and other gold certification (LBMA). Certification is based upon the fair trade system and granted upon third party auditing by FLOCERT, which allows for a premium price, possibly supplemented by an ecological premium.",
Fairmined gold and Fairmined ecological gold,Alliance for Responsible Mining (ARM),2009/2014,Gold,Certification Schemes,"ASMOs are certified through third party auditing, and Fairmined licensees (retailers of Fairmined labelled products) are certified upon full physical traceability (no mass blance) through third party auditing. A premium is paid to the Fairmined producer depending on whether it complies with the Fairmined golf or Fairmined ecological gold standard.","This standard  is directed  at  community  based  Artisanal  and  Small-Scale  Mining  Organizations (ASMOs)  comprising  of  all  possible  forms  of  organizations  that  they  may  constitute. Fairmined ASMOs are certified through third party auditing, and Fairmined licensees (retailers of Fairmined labelled products) are certified upon full physical traceability (unlike Fair Trade Gold) through third party auditing. The standard aligns with the OECD guidance and regulations such as ILO and the Minamata convention. A premium is paid to the Fairmined producer depending on whether it complies with the Fairmined golf or Fairmined ecological gold.",
Maendeleo Diamond Standards certification,Diamond Development Initiative (DDI),2019,Diamonds,Certification Schemes,"Certification is granted on a mine site basis upon third party auditing that includes conformance to due-diligence, traceability and segregation policies and procedures for buyers.","The standards adapt and implement existing responsible sourcing protocols and standards of industrial diamond mining to artisanal and small-scale operators to build a bridge between this sector and existing responsible supply chains. MDS certification focuses on Kimberley Process-approved zones and formalized operations. It includes due-dilligence, traceability and segregation policies and procedures for buyers. Certification is granted upon third party auditing.",
XertifiX,XertifiX,2005,Natural Stones,Certification Schemes,Importer sign a contract with Xertifi X to buy certified natural stones and request the producers in their supply chain to comply with the Xertifi X Standard who become subject to assurance audits and unannounced inspects by XertifiX; certified stones can be traced back through physical markings (label) and document checks accross the supply chain.,"Certification ensuring that no child labor or slavery is carried out, that all ILO core labor standards are observed, and basic environmental protection measures are observed",
Fair Stone,WiN=WiN GmbH,2009,Natural Stones,Certification Schemes,"Partners (importers) ensure that suppliers take the measures to implement the Fair Stone Standard, which must be completely implemented after three years and pass an independent third-party audit on request and expense of the Partner.",Standard and certification mechanism implementing chain of custody in the natural stone supply chain with a main focus on eliminating child and forced labour and improving health and safety standards.,
Gemfair (Pilot),De Beers,2018,Diamonds,Certification Schemes,"Formalized artisanal mine site operate in conformity with OECD and Maendeleo standards and engage in continuous improvement as adapted from the CRAFT code. Diamonds produced by certified members are sealed and tagged to enable full digital chain of custody, with the aim of using blockchain to secure documentation and transactions. Applicants are certified based of self-assessment, secondary audit by Gemfair, and third-party audit.",Certification mechanisms aiming to create market routes for artisanally mined diamonds by implementing due diligence standards and digitally ensuring the traceability of diamonds.,
International Tin Supply Chain Initiative (ITSCI standards),International Tin Association,2010,3Ts,Traceability Providers,,"ITSCI standards implement the OECD guidance and other regulations (Dodd-Franck act, ICLGR) towards fulfilling the due-dilligence and audit requirement of RMAP accredited buyers.",
Better Mining (BMP) and Better Sourcing (BSP) programmes,RCS Global,2014,"3Ts, Gold, Copper, Cobalt",Traceability Providers,,"BMP provides artisanal and small-scale mining (ASM) supply chain specific digital risk and impact data packages on a subscription basis to downstream companies and consumer brands needing due-dilligence. BSP concerns Upstream Data product, it is recognised by RMI RMAP assurance through which certification is issued along the OECD guidance, EU regulation, and Dodd-Franck act  ",
Provenance Proof initiative,Gübelin Gemm Lab,2019,Gemstones,Traceability Providers,,"The initiative seeks to bring more transparency and traceability to every step in the gemstone industry's value chain. It supplements inclusions-based identification of regional origin with mines' information encoded in nano-sized particules, and uses blockchain to securely store, record and share all operations from mine to lab.",
Just Gold (Pilot),Impact,2015,Gold,Traceability Providers,,Programme to open licit market routes for ASGM mercury-free operations in conflict affected areas by ensuring supply chain due diligence to the mine site level and product traceability from mine to market.,
Trustchain (Pilot),IBM and Richline,2018,"Gold, Diamonds",Traceability Providers,,"Tracking and authentication system covering all stages of the supply chain, and using both digital certification and third party audit for diamonds and gold produced against responsible standards.",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
